Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,372148,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,384971,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,513708,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,505383,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,485648,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,510633,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,562406,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,578831,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,235992,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,290189,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,311964,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,286223,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,280513,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,358063,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,362262,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,36462,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,56745,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,37697,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,27300,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,33212,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,64742,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,52760,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,290.3,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,380,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,353.1,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,283.2,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,274.7,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,222.9,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,198,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,103.9,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,174.1,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,154.6,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,145.6,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,146.3,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,130.1,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,127.5,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.6,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,3.7,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.2,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,1.8,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.2,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,3.8,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,3,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.1,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.9,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.7,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.5,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,1.7,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,3,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.3,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,80.6,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79.7,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79.9,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,79.7,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,78.5,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,78,2023
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,24.1,2017
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,26.6,2018
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,25.4,2019
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,25.2,2020
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,25.5,2021
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,27.4,2022
Table 9,Financials - Maori authorities: Agriculture,ANZSIC06 subdivision A01,Debt to equity ratio,Financial ratios,Percent,28.2,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,850638,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,735118,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,620742,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,533511,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,944459,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,1191735,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,686489,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,510893,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,530161,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,422326,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,409678,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,434732,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,556640,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,491057,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,24278,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,26904,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,38123,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,40503,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,22631,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,33823,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,31808,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,315468,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,178053,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,160293,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,83330,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,487095,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,601272,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,163624,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,370337,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,363023,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,314744,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,411867,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,345601,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,427997,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,518466,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,38581,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,41221,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,48867,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,40032,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,34536,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,39064,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,52896,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,7534,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,8354,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,9232,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,10263,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,11136,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,12758,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,11405,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,9744,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,10104,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,10416,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,13967,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,14361,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,14698,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,14353,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,54737,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,49780,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,55677,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,59152,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,57968,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,72943,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,70630,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,251698,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,241169,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,173470,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,215789,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,202538,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,227429,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,269307,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,8043,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,12394,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,17081,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,72664,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,25062,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,61106,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,99876,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,462812,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,364741,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,311603,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,130442,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,585769,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,762965,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,167963,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,6396675,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,7157286,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,7649287,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,7694561,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,7961258,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,9288612,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,9737179,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,724596,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,863926,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,811448,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,672116,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,684111,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,727048,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,554759,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,4307914,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,4307471,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,4469148,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,4714760,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,5172274,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,5851597,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,6229488,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1364164,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1985889,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2368691,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2307685,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2104872,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2709967,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2952933,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,6396675,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,7157286,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,7649287,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,7694561,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,7961257,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,9288612,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,9737180,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,5027449,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,5694532,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,5950512,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,5959282,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,6231198,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,7416821,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,7521323,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,451931,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,391940,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,416022,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,389106,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,395872,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,329816,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,399078,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,917294,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1070815,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1282753,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1346173,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1334187,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1541975,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1816778,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1557618,2017
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1299528,2018
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,970934,2019
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,843965,2020
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1391317,2021
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1545634,2022
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,808067,2023
Table 10,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,847462,2017
